fips,asian,white,black,hispanic,popsqmi,nat_amer,pct_change
05043,0.005133,0.68826,0.277919,0.024529,22.3,0.002323,-0.0114298
05045,0.011277,0.842657,0.102157,0.039166,174.8,0.005811,0.316495
05047,0.008938,0.950124,0.007172,0.020469,29.8,0.010428,0.0199201
05049,0.002287,0.968314,0.003267,0.007922,19.8,0.006452,0.0517952
05051,0.007238,0.863992,0.079303,0.048134,141.7,0.006113,0.0903393
05053,0.002689,0.94886,0.021845,0.021957,28.3,0.004313,0.0843659
05055,0.002566,0.964077,0.005536,0.021407,72.9,0.004966,0.127481
05057,0.003627,0.594055,0.293954,0.119996,31.1,0.003892,-0.0414635
05059,0.002886,0.855906,0.108374,0.027914,53.5,0.004678,0.0846704
05061,0.006309,0.717528,0.206396,0.097832,23.4,0.006962,-0.0357343
05063,0.007586,0.919257,0.019701,0.058368,48,0.004884,0.0705168
05065,0.002994,0.957798,0.012777,0.015187,23.6,0.007666,0.0337384
05067,0.002945,0.798077,0.166694,0.024226,28.4,0.005056,-0.0228581
05069,0.007761,0.419797,0.550642,0.015742,88.9,0.002751,-0.0811956
05071,0.006852,0.872357,0.014252,0.121143,38.7,0.008849,0.12111
05073,0.003401,0.607194,0.372139,0.017135,14.5,0.002224,-0.106788
05075,0.001263,0.973414,0.007867,0.009073,29.6,0.003618,-0.020198
05077,0.003933,0.42028,0.552667,0.016117,17.3,0.004701,-0.171383
05079,0.00191,0.665558,0.298783,0.03198,25.2,0.002689,-0.0247033
05081,0.002961,0.755296,0.191254,0.027105,24.7,0.014577,-0.0335339
05083,0.01615,0.932492,0.013287,0.022816,31.6,0.010603,-0.00591479
05085,0.007783,0.897551,0.059614,0.032857,88.7,0.00531,0.293935
05087,0.005154,0.935993,0.001782,0.048292,18.8,0.012089,0.103489
05089,0.002222,0.969555,0.001801,0.017234,27.9,0.006906,0.0317844
05091,0.004556,0.71635,0.245433,0.023883,69.5,0.006742,0.0746483
05093,0.005013,0.616459,0.340297,0.036467,51.6,0.002926,-0.105793
05095,0.004418,0.562523,0.408639,0.016198,13.4,0.003559,-0.205286
05097,0.00527,0.944239,0.002319,0.038052,12.2,0.008327,0.0261763
05099,0.002556,0.659442,0.307214,0.024453,14.6,0.003446,-0.096233
05101,0.003001,0.960504,0.00108,0.016927,10.1,0.010804,-0.0322955
05103,0.003637,0.569793,0.400766,0.01562,35.6,0.003292,-0.0927405
05105,0.001628,0.951556,0.018765,0.023648,18.9,0.006702,0.0231169
05107,0.003079,0.35014,0.630556,0.013191,31.3,0.002344,-0.177274
05109,0.005048,0.900097,0.029227,0.064388,18.8,0.0062,-0.00106167
05111,0.001831,0.898548,0.072204,0.022088,32.4,0.0024,-0.0402514
05113,0.004549,0.926532,0.003146,0.057594,24.1,0.017617,0.0214049
05115,0.009797,0.895051,0.028889,0.067494,76,0.007627,0.133746
05117,0.000688,0.863913,0.122088,0.009294,13.4,0.002983,-0.0863822
05119,0.019608,0.574924,0.349729,0.057918,503.8,0.004063,0.0588535
05121,0.001781,0.96494,0.007123,0.015749,27.6,0.005009,-0.012421
05123,0.004813,0.442423,0.519039,0.040661,44.5,0.005237,-0.0365168
05125,0.008691,0.905338,0.046621,0.038154,148,0.00506,0.282405
05127,0.034185,0.879551,0.004718,0.069616,12.6,0.018517,0.0215533
05129,0.001342,0.959976,0.001464,0.014765,12.3,0.011714,-0.00798935
05131,0.040575,0.766192,0.063772,0.122829,236.4,0.018816,0.0927514
05133,0.003693,0.700492,0.04303,0.306015,30.2,0.023332,0.0825665
05135,0.002896,0.960496,0.005387,0.016798,28.6,0.009847,0.00847012
05137,0.003631,0.967807,0.000888,0.012667,20.4,0.006777,0.0778329
05139,0.004971,0.631043,0.329523,0.035063,40.1,0.003434,-0.0874444
05141,0.003238,0.959699,0.003932,0.027465,24.4,0.006881,0.0681201
05143,0.021747,0.79902,0.029577,0.154916,215.6,0.011784,0.287544
05145,0.005436,0.913709,0.039883,0.037353,74.5,0.005825,0.147562
05147,0.002066,0.699036,0.274656,0.011983,12.4,0.002479,-0.169431
05149,0.012937,0.866622,0.013838,0.190669,23.9,0.006716,0.049482
06001,0.261251,0.429805,0.126104,0.225052,2043.6,0.006488,0.0460817
06003,0.005957,0.749787,0,0.071489,1.6,0.204255,-0.0273179
06005,0.011,0.870258,0.025255,0.124859,64.1,0.017799,0.0852137
06007,0.041168,0.818618,0.015523,0.141436,134.4,0.019977,0.0828317
06009,0.012528,0.889069,0.008403,0.103186,44.7,0.015117,0.123884
06011,0.013119,0.646809,0.009104,0.551099,18.6,0.019562,0.139066
06013,0.14439,0.585793,0.09262,0.243617,1465.2,0.005836,0.105615
06015,0.033729,0.737434,0.034708,0.178015,28.4,0.078434,0.0400989
06017,0.034779,0.865982,0.007782,0.120818,106,0.011433,0.158408
06019,0.096036,0.553651,0.053225,0.503058,156.2,0.016819,0.163925
06021,0.025674,0.710831,0.008214,0.37476,21.4,0.022011,0.063093
06023,0.021868,0.816502,0.011179,0.098133,37.7,0.05739,0.064062
06025,0.01629,0.587602,0.033078,0.803716,41.8,0.017527,0.225954
06027,0.013103,0.740914,0.005877,0.19395,1.8,0.114364,0.0334912
06029,0.041502,0.595221,0.058265,0.491922,103.3,0.015097,0.269005
06031,0.036736,0.542724,0.071995,0.508988,110.1,0.016747,0.181684
06033,0.011196,0.804655,0.019052,0.171468,51.5,0.031686,0.109005
06035,0.010202,0.731681,0.081215,0.175297,7.7,0.035363,0.0315419
06037,0.137175,0.50278,0.08727,0.47745,2419.6,0.007417,0.0314378
06039,0.018573,0.626096,0.037312,0.536851,70.6,0.027415,0.225459
06041,0.054519,0.800142,0.027681,0.154784,485.1,0.006034,0.0207045
06043,0.011177,0.882308,0.007561,0.091831,12.6,0.028875,0.0654407
06045,0.016507,0.765224,0.007081,0.222049,25.1,0.04869,0.0182693
06047,0.073638,0.580082,0.038805,0.549214,132.2,0.013577,0.214857
06049,0.008053,0.834607,0.008466,0.13855,2.5,0.038199,0.025082
06051,0.013519,0.823616,0.003309,0.264892,4.7,0.021265,0.104956
06053,0.060854,0.555868,0.030803,0.554148,126.5,0.013164,0.0330917
06055,0.067576,0.714553,0.019548,0.322455,182.4,0.007752,0.0982065
06057,0.012019,0.913622,0.003939,0.085446,103.1,0.010571,0.0731368
06059,0.178659,0.608178,0.016857,0.33651,3807.7,0.006023,0.0575989
06061,0.058648,0.835104,0.013635,0.128318,247.6,0.008642,0.402711
06063,0.006698,0.889539,0.009597,0.080222,7.8,0.026941,-0.0392336
06065,0.059584,0.609756,0.064185,0.45453,303.8,0.010828,0.416888
06067,0.143229,0.57454,0.10365,0.215815,1470.8,0.010085,0.159615
06069,0.026109,0.636541,0.008739,0.564258,39.8,0.016194,0.0382274
06071,0.063189,0.566605,0.089358,0.491912,101.5,0.011148,0.190575
06073,0.108581,0.640143,0.051114,0.320274,735.8,0.00851,0.100034
06075,0.332717,0.484811,0.06069,0.151228,17179.2,0.004997,0.0366947
06077,0.143691,0.50968,0.075505,0.388645,492.6,0.0105,0.215948
06079,0.03155,0.826133,0.020583,0.207586,81.7,0.009405,0.0930595
06081,0.247919,0.533836,0.028445,0.254021,1602.2,0.004602,0.0159652
06083,0.04875,0.69622,0.020083,0.428613,155,0.01294,0.0614704
06085,0.320224,0.469576,0.026059,0.268971,1381,0.007274,0.0588719
06087,0.04235,0.724928,0.010542,0.320495,589.4,0.008587,0.0265256
06089,0.024777,0.867416,0.008735,0.083951,46.9,0.027931,0.0855528
06091,0.003704,0.932716,0.001852,0.083025,3.4,0.01358,-0.0886076
06093,0.012027,0.846993,0.012717,0.102784,7.2,0.040401,0.0135211
06095,0.146302,0.509868,0.146972,0.240371,503,0.007771,0.0476553
06097,0.037904,0.767574,0.015727,0.248885,307.1,0.01341,0.0550877
06099,0.050714,0.655729,0.028615,0.419199,344.2,0.011472,0.150909
06101,0.14422,0.609572,0.020256,0.287649,157.3,0.014408,0.200266
06103,0.010337,0.814979,0.006397,0.21912,21.5,0.025905,0.132479
06105,0.006819,0.872842,0.00428,0.069563,4.3,0.047512,0.0586699
06107,0.034321,0.600702,0.016274,0.606236,91.7,0.015815,0.201505
